"title","method"
"Gemüsesuppe","Um eine herzhafte Gemüsesuppe zuzubereiten, erhitzen Sie 2 Esslöffel Olivenöl in einem großen Topf bei mittlerer Hitze. Fügen Sie 1 gewürfelte Zwiebel, 2 in Scheiben geschnittene Karotten und 2 gehackte Selleriestangen hinzu. Kochen Sie das Gemüse 5-7 Minuten lang, bis es anfängt weich zu werden. Fügen Sie 3 gehackte Knoblauchzehen hinzu und braten Sie sie eine weitere Minute lang an. Gießen Sie 4 Tassen Gemüsebrühe hinzu und bringen Sie die Suppe zum Kochen. Fügen Sie 1 gewürfelte Kartoffel, 1 Tasse gehackte grüne Bohnen und 1 Dose gewürfelte Tomaten mit Saft hinzu. Würzen Sie mit Salz, Pfeffer und einem Teelöffel getrocknetem Thymian. Reduzieren Sie die Hitze und lassen Sie die Suppe 20-25 Minuten köcheln, bis das Gemüse zart ist. Rühren Sie vor dem Servieren eine Handvoll gehackte Petersilie ein."
"Makkaroni und Käse","Um klassische Makkaroni und Käse zuzubereiten, kochen Sie 2 Tassen Ellenbogenmakkaroni in einem großen Topf mit kochendem, gesalzenem Wasser, bis sie al dente sind. Lassen Sie die Pasta abtropfen und stellen Sie sie beiseite. Schmelzen Sie in demselben Topf 2 Esslöffel Butter bei mittlerer Hitze. Rühren Sie 2 Esslöffel Mehl ein, um eine Mehlschwitze zu bilden, und kochen Sie sie etwa 1 Minute lang. Gießen Sie nach und nach 2 Tassen Milch unter ständigem Rühren ein, bis die Sauce eindickt. Nehmen Sie den Topf vom Herd und rühren Sie 2 Tassen geriebenen Cheddar-Käse ein, bis er geschmolzen und glatt ist. Fügen Sie die gekochten Makkaroni zur Sauce hinzu und rühren Sie, um die Pasta gleichmäßig zu bedecken. Heiß servieren, optional mit Semmelbröseln bestreut und gebacken, bis sie goldbraun sind."
"Grilled Cheese Sandwich","Um ein Grilled Cheese Sandwich zuzubereiten, bestreichen Sie eine Seite von zwei Brotscheiben mit Butter. Erhitzen Sie eine Pfanne bei mittlerer Hitze. Legen Sie eine Scheibe Brot mit der gebutterten Seite nach unten in die Pfanne. Fügen Sie 2-3 Scheiben Ihres Lieblingskäses hinzu. Legen Sie die andere Scheibe Brot mit der gebutterten Seite nach oben darauf. Braten Sie das Sandwich 2-3 Minuten auf jeder Seite, bis das Brot goldbraun und der Käse geschmolzen ist. Sofort servieren, oft zusammen mit einer Schüssel Tomatensuppe."
"Pfannkuchen","Um Pfannkuchen zuzubereiten, verquirlen Sie 1 Tasse Mehl, 2 Esslöffel Zucker, 1 Teelöffel Backpulver und eine Prise Salz in einer großen Schüssel. In einer separaten Schüssel verquirlen Sie 1 Tasse Milch, 1 Ei und 2 Esslöffel geschmolzene Butter. Gießen Sie die flüssigen Zutaten zu den trockenen und rühren Sie, bis gerade alles vermischt ist; ein paar Klümpchen sind in Ordnung. Erhitzen Sie eine beschichtete Pfanne oder Grillplatte bei mittlerer Hitze und fetten Sie sie leicht mit Butter oder Öl ein. Gießen Sie 1/4 Tasse Teig für jeden Pfannkuchen auf die Pfanne. Braten Sie, bis sich Blasen auf der Oberfläche bilden, dann wenden Sie und braten Sie, bis die andere Seite goldbraun ist. Warm servieren mit Sirup und Butter."
"Hähnchen Alfredo","Um Hähnchen Alfredo zuzubereiten, braten Sie 2 Hähnchenbrüste in einer großen Pfanne bei mittlerer Hitze mit einem Esslöffel Olivenöl, würzen Sie sie mit Salz und Pfeffer. Braten Sie sie etwa 7-8 Minuten auf jeder Seite, bis sie vollständig durchgegart sind. Nehmen Sie das Hähnchen aus der Pfanne und stellen Sie es beiseite. Schmelzen Sie in derselben Pfanne 3 Esslöffel Butter und fügen Sie 2 gehackte Knoblauchzehen hinzu, braten Sie sie 1 Minute lang an. Gießen Sie 1 Tasse Sahne hinzu und lassen Sie sie köcheln. Rühren Sie 1 Tasse geriebenen Parmesan-Käse ein, bis die Sauce glatt ist. Schneiden Sie das gekochte Hähnchen in Scheiben und geben Sie es zusammen mit gekochten Fettuccine-Nudeln in die Pfanne. Alles zusammenwerfen und heiß servieren."
"Guacamole","Um Guacamole zuzubereiten, zerdrücken Sie 2 reife Avocados in einer Schüssel. Fügen Sie 1 klein gewürfelte Zwiebel, 1 gewürfelte Tomate, 1 gehackten Jalapeño und eine Handvoll gehackten Koriander hinzu. Rühren Sie den Saft von 1 Limette ein und würzen Sie mit Salz und Pfeffer nach Geschmack. Alles zusammen mischen, bis alles gut vermischt ist. Sofort servieren mit Tortilla-Chips oder als Topping für Tacos und Burritos."
"Bananenbrot","Um Bananenbrot zu machen, heizen Sie den Ofen auf 175°C vor. In einer großen Schüssel 3 reife Bananen mit einer Gabel zerdrücken. Rühren Sie 1/3 Tasse geschmolzene Butter, 1/2 Tasse Zucker, 1 geschlagenes Ei und 1 Teelöffel Vanilleextrakt ein. In einer separaten Schüssel 1 1/2 Tassen Mehl, 1 Teelöffel Natron und eine Prise Salz vermengen. Die trockenen Zutaten nach und nach zu den nassen Zutaten geben und rühren, bis sie gerade so vermischt sind. Den Teig in eine gefettete Kastenform gießen und 60 Minuten backen, oder bis ein Zahnstocher, der in die Mitte gesteckt wird, sauber herauskommt. Lassen Sie das Brot 10 Minuten in der Form abkühlen, bevor Sie es auf ein Kuchengitter legen, um es vollständig abzukühlen."
"Hühnernudelsuppe","Um Hühnernudelsuppe zu machen, erhitzen Sie 2 Esslöffel Olivenöl in einem großen Topf bei mittlerer Hitze. Fügen Sie 1 gewürfelte Zwiebel, 2 in Scheiben geschnittene Karotten und 2 gehackte Selleriestangen hinzu. Die Gemüse 5-7 Minuten anbraten, bis sie weich sind. Fügen Sie 3 gehackte Knoblauchzehen hinzu und braten Sie sie eine weitere Minute. Gießen Sie 6 Tassen Hühnerbrühe hinzu und bringen Sie es zum Kochen. Fügen Sie 2 Tassen zerkleinertes gekochtes Huhn und 2 Tassen Eiernudeln hinzu. Die Hitze reduzieren und 10-12 Minuten köcheln lassen, bis die Nudeln weich sind. Mit Salz, Pfeffer und einer Handvoll gehackter frischer Petersilie würzen. Heiß servieren, mit Crackern oder Brot dazu."
"Gebratener Reis mit Ei","Um gebratenen Reis mit Ei zu machen, erhitzen Sie 2 Esslöffel Pflanzenöl in einer großen Pfanne oder einem Wok bei mittlerer bis hoher Hitze. Fügen Sie 3 geschlagene Eier hinzu und rühren Sie, bis sie vollständig gekocht sind. Nehmen Sie die Eier aus der Pfanne und stellen Sie sie beiseite. Fügen Sie in derselben Pfanne einen weiteren Esslöffel Öl hinzu und braten Sie 2 Tassen kalten, gekochten Reis 2-3 Minuten lang an. Fügen Sie 1 Tasse gemischtes Gemüse (wie Erbsen, Karotten und Mais) hinzu und braten Sie es weitere 2 Minuten. Geben Sie die Rühreier zurück in die Pfanne und rühren Sie 2 Esslöffel Sojasauce und 1 Teelöffel Sesamöl ein. Alles zusammen noch eine Minute kochen. Heiß servieren, garniert mit in Scheiben geschnittenen Frühlingszwiebeln."
"Spaghetti Carbonara","Um Spaghetti Carbonara zu machen, kochen Sie 225 g Spaghetti in einem großen Topf mit kochendem Salzwasser bis al dente. Während die Pasta kocht, braten Sie 115 g gewürfelten Pancetta oder Speck in einer Pfanne bei mittlerer Hitze, bis er knusprig ist. In einer kleinen Schüssel 2 große Eier und 1/2 Tasse geriebenen Parmesan verquirlen. Die Pasta abgießen, dabei 1/2 Tasse Kochwasser aufbewahren. Die Pasta in den Topf zurückgeben und schnell die Eiermischung einrühren, sodass die Pasta gleichmäßig bedeckt ist. Fügen Sie den knusprigen Pancetta hinzu und einen Schuss des Kochwassers, falls die Sauce zu dick ist. Mit Salz und frisch gemahlenem schwarzen Pfeffer würzen. Sofort servieren, mit extra Parmesan garniert."
"Minestrone Suppe","Um Minestrone-Suppe zu machen, erhitzen Sie 2 Esslöffel Olivenöl in einem großen Topf bei mittlerer Hitze. Fügen Sie 1 gewürfelte Zwiebel, 2 gehackte Karotten und 2 gewürfelte Selleriestangen hinzu. Kochen Sie das Gemüse 5-7 Minuten, bis es weich wird. Fügen Sie 2 gehackte Knoblauchzehen und 1 gewürfelte Zucchini hinzu und kochen Sie weitere 2 Minuten. Fügen Sie 1 Dose gewürfelte Tomaten, 4 Tassen Gemüsebrühe, 1 Dose Kidneybohnen und 1/2 Tasse kleine Nudeln (wie Ditalini) hinzu. Mit Salz, Pfeffer und 1 Teelöffel getrocknetem Oregano würzen. Die Suppe zum Kochen bringen, dann die Hitze reduzieren und 15-20 Minuten köcheln lassen, bis die Nudeln gar sind. Zum Schluss eine Handvoll gehackten Spinat unterrühren und servieren."
"Blaubeermuffins","Um Blaubeermuffins zu machen, heizen Sie Ihren Ofen auf 190°C vor und legen Sie eine Muffinform mit Papierförmchen aus. In einer großen Schüssel 1 1/2 Tassen Mehl, 3/4 Tasse Zucker, 1/2 Teelöffel Salz und 2 Teelöffel Backpulver vermengen. In einer separaten Schüssel 1/3 Tasse Pflanzenöl, 1 großes Ei und 1/3 Tasse Milch vermischen. Die nassen Zutaten zu den trockenen Zutaten geben und rühren, bis sie gerade so vermischt sind. Vorsichtig 1 Tasse frische oder gefrorene Blaubeeren unterheben. Den Teig gleichmäßig in die Muffinform verteilen und 20-25 Minuten backen, oder bis ein Zahnstocher in der Mitte sauber herauskommt. Lassen Sie die Muffins einige Minuten in der Form abkühlen, bevor Sie sie auf ein Gitter legen, um sie vollständig abzukühlen."
"Gefüllte Paprika","Um gefüllte Paprika zu machen, heizen Sie Ihren Ofen auf 190°C vor. Schneiden Sie die Oberseiten von 4 Paprikaschoten ab und entfernen Sie die Kerne. In einer großen Pfanne 1 Esslöffel Olivenöl bei mittlerer Hitze erhitzen. Fügen Sie 1 gewürfelte Zwiebel und 2 gehackte Knoblauchzehen hinzu und braten Sie, bis sie weich sind. Geben Sie 450 g Hackfleisch hinzu und braten Sie es, bis es braun ist. Überschüssiges Fett abgießen. 1 Tasse gekochten Reis, 1 Dose gewürfelte Tomaten, Salz, Pfeffer und 1 Teelöffel italienische Gewürze einrühren. Jede Paprika mit der Fleischmischung füllen und in eine Auflaufform stellen. Mit geriebenem Käse bestreuen und mit Folie abdecken. 25-30 Minuten backen, dann die Folie entfernen und weitere 10 Minuten backen, bis der Käse goldbraun ist."
"Boeuf Stroganoff","Um Boeuf Stroganoff zu machen, schneiden Sie 450 g Rinderlende in dünne Streifen. Das Fleisch mit Salz und Pfeffer würzen. In einer großen Pfanne 2 Esslöffel Butter bei mittlerer bis hoher Hitze erhitzen. Das Fleisch hinzufügen und 4-5 Minuten braten, bis es gebräunt ist. Das Fleisch aus der Pfanne nehmen und beiseitestellen. In derselben Pfanne weitere 2 Esslöffel Butter schmelzen und 1 gewürfelte Zwiebel und 1 gehackte Knoblauchzehe anbraten, bis sie weich sind. 1 Esslöffel Mehl einrühren und 1 Minute kochen lassen. Nach und nach 1 Tasse Rinderbrühe und 1 Tasse saure Sahne hinzufügen und unter ständigem Rühren kochen, bis die Sauce dick wird. Das Fleisch zurück in die Pfanne geben und 2-3 Minuten weiterkochen. Über Eiernudeln servieren, garniert mit frischer Petersilie."
"Hähnchen-Parmesan","Um Hähnchen-Parmesan zu machen, heizen Sie Ihren Ofen auf 200°C vor. Würzen Sie 2 Hähnchenbrustfilets ohne Haut und Knochen mit Salz und Pfeffer. Wälzen Sie jedes Hähnchenbrustfilet in Mehl, tauchen Sie es dann in geschlagene Eier und schließlich in Semmelbrösel, die mit geriebenem Parmesan gemischt wurden. In einer großen Pfanne 2 Esslöffel Olivenöl bei mittlerer Hitze erhitzen. Braten Sie das Hähnchen 3-4 Minuten auf jeder Seite, bis es goldbraun ist. Legen Sie das Hähnchen in eine Auflaufform und bedecken Sie es mit Marinara-Sauce und geriebenem Mozzarella. 15-20 Minuten backen, bis der Käse geschmolzen und sprudelnd ist. Heiß servieren, über Spaghetti oder Ihrer Lieblingspasta."
"Apfelkuchen","Um Apfelkuchen zu machen, heizen Sie Ihren Ofen auf 220°C (425°F) vor. In einer großen Schüssel mischen Sie 6 geschälte und in Scheiben geschnittene Äpfel mit 1/2 Tasse Zucker, 1 Teelöffel Zimt und 1/4 Teelöffel Muskatnuss. Die Äpfel gleichmäßig bedecken. Rollen Sie einen Teigboden aus und legen Sie ihn in eine 9-Zoll-Pie-Form. Gießen Sie die Apfelmischung in den Teig und geben Sie 2 Esslöffel Butter darauf. Rollen Sie den zweiten Teigboden aus und legen Sie ihn über die Äpfel, drücken Sie die Ränder zusammen, um ihn zu verschließen. Schneiden Sie einige Schlitze in den oberen Teig, um Dampf entweichen zu lassen. Backen Sie den Kuchen 45-50 Minuten lang, bis die Kruste goldbraun und die Füllung blubbert. Lassen Sie den Kuchen abkühlen, bevor Sie ihn servieren."
"Vegetarisches Chili","Um vegetarisches Chili zuzubereiten, erhitzen Sie 2 Esslöffel Olivenöl in einem großen Topf bei mittlerer Hitze. Fügen Sie 1 gewürfelte Zwiebel, 2 gehackte Paprika und 2 gehackte Knoblauchzehen hinzu. Kochen Sie das Gemüse etwa 5-7 Minuten, bis es weich ist. Rühren Sie 2 Esslöffel Chilipulver, 1 Teelöffel Kreuzkümmel und 1 Teelöffel geräuchertes Paprikapulver ein. Fügen Sie 1 Dose gewürfelte Tomaten, 1 Dose Kidneybohnen, 1 Dose schwarze Bohnen und 1 Tasse Gemüsebrühe hinzu. Lassen Sie das Chili köcheln und kochen Sie es 20-25 Minuten, gelegentlich umrühren. Mit Salz und Pfeffer abschmecken. Heiß servieren, garniert mit Sauerrahm, geriebenem Käse und gehacktem Koriander."
"Auberginen-Parmesan","Um Auberginen-Parmesan zuzubereiten, heizen Sie Ihren Ofen auf 190°C (375°F) vor. Schneiden Sie 2 mittelgroße Auberginen in 1/4 Zoll dicke Scheiben. Würzen Sie die Scheiben mit Salz und lassen Sie sie 30 Minuten stehen, um überschüssige Feuchtigkeit zu entziehen. Tupfen Sie die Auberginenscheiben mit Papiertüchern trocken. Wenden Sie jede Scheibe in Mehl, tauchen Sie sie in geschlagene Eier und bestreichen Sie sie mit Semmelbröseln. In einer großen Pfanne erhitzen Sie 2 Esslöffel Olivenöl bei mittlerer Hitze und braten Sie die Auberginenscheiben goldbraun an beiden Seiten. In einer Auflaufform schichten Sie die gebratenen Auberginenscheiben mit Marinara-Sauce und geriebenem Mozzarella-Käse. Wiederholen Sie die Schichten, bis alle Zutaten aufgebraucht sind, und enden Sie mit einer Schicht Käse. Backen Sie das Gericht 25-30 Minuten, bis der Käse geschmolzen und blubbert. Heiß servieren."
